,targetname,datetime_jd,datetime_str,x,y,z,vx,vy,vz,lighttime,range,range_rate
122,Earth (399),2456640.702586805,A.D. 2013-Dec-14 04:51:43.5000,0.1342219748857852,0.9751429038293787,-2.981318229742924e-05,-0.01731883315055097,0.002276993050556407,5.644299258596593e-07,0.005685056073173825,0.9843369455221415,-0.00010583204274392
123,Earth (399),2456641.702586805,A.D. 2013-Dec-15 04:51:43.5000,0.1168837046687541,0.9772690892398548,-2.926089593681654e-05,-0.01735685901911233,0.001975282275365332,5.354230898031799e-07,0.005684461824246458,0.9842340545098954,-9.992713475572128e-05
124,Earth (399),2456642.702586805,A.D. 2013-Dec-16 04:51:43.5000,0.09950995165862943,0.9790932833244776,-2.875123188203619e-05,-0.01738980009241824,0.001673016299178277,4.797556309015223e-07,0.005683902029423426,0.9841371290408881,-9.390882245808286e-05
125,Earth (399),2456643.702586805,A.D. 2013-Dec-17 04:51:43.5000,0.0821057983623725,0.9806149485147391,-2.830901603484695e-05,-0.01741765919161642,0.001370230385702267,4.012143092033258e-07,0.005683377208789625,0.984046259165029,-8.782353975303409e-05
126,Earth (399),2456644.702586805,A.D. 2013-Dec-18 04:51:43.5000,0.06467632959756803,0.9818335828299989,-2.795496821617686e-05,-0.01744042902148524,0.001066960767925093,3.041917317530494e-07,0.005682887619875138,0.9839614894722688,-8.171562766386607e-05
127,Earth (399),2456645.702586805,A.D. 2013-Dec-19 04:51:43.5000,0.04722664210300426,0.9827487217627185,-2.770519469836179e-05,-0.01745809324549222,0.000763246424944294,1.934902390148001e-07,0.005682433272073894,0.983882821589116,-7.56265652064874e-05
128,Earth (399),2456646.702586805,A.D. 2013-Dec-20 04:51:43.5000,0.02976185289839438,0.9833599417351437,-2.757087119476439e-05,-0.01747062789095458,0.0004591304093393631,7.414108338513742e-08,0.005682013944652292,0.9838102172967323,-6.959452707114038e-05
129,Earth (399),2456647.702586805,A.D. 2013-Dec-21 04:51:43.5000,0.01228710615900261,0.9836668645757038,-2.755808841884358e-05,-0.01747800286359324,0.0001546605382957591,-4.873567232197066e-08,0.005681629205978989,0.9837436018604679,-6.365442010687836e-05
130,Earth (399),2456648.702586805,A.D. 2013-Dec-22 04:51:43.5000,-0.005192421335748486,0.9836691623463693,-2.766780818232812e-05,-0.01748018322110475,-0.0001501105844943058,-1.700095706850221e-07,0.005681278431050958,0.9836828670644026,-5.783842923357894e-05
131,Earth (399),2456649.702586805,A.D. 2013-Dec-23 04:51:43.5000,-0.02267151574800165,0.9833665619212121,-2.789586338196878e-05,-0.01747712982879771,-0.0004551260410610258,-2.845494615849356e-07,0.005680960814662037,0.9836278734914116,-5.217694571384243e-05
