time (Julian Date),wavelength (nm),irradiance (W/m^2/nm)
2458850.0,677.98,NaN
2458850.0,680.50,NaN
2458850.0,683.06,NaN
2458850.0,685.63,NaN
2458850.0,688.23,NaN
2458850.0,690.85,NaN
2458850.0,693.49,NaN
2458850.0,696.16,NaN
2458850.0,698.85,NaN
2458850.0,701.56,NaN
2458850.0,704.30,NaN
2458850.0,707.07,NaN
2458850.0,709.85,NaN
2458850.0,712.67,NaN
2458850.0,715.51,NaN
2458850.0,718.37,NaN
2458850.0,721.26,NaN
2458850.0,724.18,NaN
2458850.0,727.12,NaN
2458850.0,730.09,NaN
2458850.0,733.08,NaN
2458850.0,736.10,NaN
2458850.0,739.15,NaN
2458850.0,742.22,NaN
2458850.0,745.33,NaN
2458850.0,748.46,NaN
2458850.0,751.61,NaN
2458850.0,754.80,NaN
2458850.0,758.01,NaN
2458850.0,761.26,NaN
2458850.0,764.53,NaN
2458850.0,767.83,NaN
2458850.0,771.15,NaN
2458850.0,774.51,NaN
2458850.0,777.90,NaN
2458850.0,781.31,NaN
2458850.0,784.76,NaN
2458850.0,788.23,NaN
2458850.0,791.73,NaN
2458850.0,795.27,NaN
2458850.0,798.83,NaN
2458850.0,802.42,NaN
2458850.0,806.05,NaN
2458850.0,809.70,NaN
2458850.0,813.39,NaN
2458850.0,817.10,NaN
2458850.0,820.85,NaN
2458850.0,824.62,NaN
2458850.0,828.43,NaN
2458850.0,832.26,NaN
2458850.0,836.13,NaN
2458850.0,840.03,NaN
2458850.0,843.96,NaN
2458850.0,847.92,NaN
2458850.0,851.91,NaN
2458850.0,855.93,NaN
2458850.0,859.99,NaN
2458850.0,864.07,NaN
2458850.0,868.18,NaN
2458850.0,872.33,NaN
2458850.0,876.50,NaN
2458850.0,880.71,NaN
2458850.0,884.94,NaN
2458850.0,889.21,NaN
2458850.0,893.50,NaN
2458850.0,897.83,NaN
2458850.0,902.19,NaN
2458850.0,906.57,NaN
2458850.0,910.99,NaN
2458850.0,915.43,NaN
2458850.0,919.91,NaN
2458850.0,924.41,NaN
2458850.0,928.94,NaN
2458850.0,933.50,NaN
2458850.0,938.09,NaN
2458850.0,942.70,NaN
2458850.0,947.35,NaN
2458850.0,952.74,NaN
2458850.0,957.41,NaN
2458850.0,962.11,NaN
2458850.0,966.83,NaN
2458850.0,971.58,NaN
2458850.0,976.35,NaN
2458850.0,981.15,NaN
2458850.0,985.98,NaN
2458850.0,990.82,NaN
2458850.0,995.70,NaN
2458850.0,1000.59,NaN
2458850.0,1005.51,NaN
2458850.0,1010.45,NaN
2458850.0,1015.42,NaN
2458850.0,1020.41,NaN
2458850.0,1025.41,NaN
2458850.0,1030.44,NaN
2458850.0,1035.49,NaN
2458850.0,1040.57,NaN
2458850.0,1045.66,NaN
2458850.0,1050.77,NaN
2458850.0,1055.90,NaN
2458850.0,1061.04,NaN
2458850.0,1066.21,NaN
2458850.0,1071.39,NaN
2458850.0,1076.59,NaN
2458850.0,1081.81,NaN
2458850.0,1087.04,NaN
2458850.0,1092.29,NaN
2458850.0,1097.55,NaN
2458850.0,1102.83,NaN
2458850.0,1108.13,NaN
2458850.0,1113.43,NaN
2458850.0,1118.75,NaN
2458850.0,1124.09,NaN
2458850.0,1129.43,NaN
2458850.0,1134.79,NaN
2458850.0,1140.16,NaN
2458850.0,1145.53,NaN
2458850.0,1150.92,NaN
2458850.0,1156.32,NaN
2458850.0,1161.73,NaN
2458850.0,1167.15,NaN
2458850.0,1172.57,NaN
2458850.0,1178.01,NaN
