,OBS_ID,DATE_OBS,DATE_END,FILTER,PA_PNT,RA_OBJ,DEC_OBJ,EXPOSURE,MID_TIME,EXTENSION,FITS_FILENAME,HELIO,HELIO_V,OBS_DIS,PHASE,RA,DEC,PX,PY
16,00033554003,2014-12-19T00:37:44.000,2014-12-19T00:41:04.000,UVW1,251.999390602568,335.71223,-25.13946,196.622236756971,2014-12-19T00:39:24.000,2,sw00033554003uw1_sk.img.gz,4.591721513575,-17.8200084,4.96579880345342,10.9392,335.65033,-25.20616,737.3455572989756,336.39059425639925
17,00033554003,2014-12-19T00:41:07.000,2014-12-19T00:44:27.000,UVW1,251.999390602568,335.71223,-25.13946,196.633102606692,2014-12-19T00:42:47.000,3,sw00033554003uw1_sk.img.gz,4.591697333278,-17.8200451,4.96581505843346,10.9392,335.65025,-25.20611,738.1558317308122,336.5606245148045
18,00033554003,2014-12-19T00:44:30.000,2014-12-19T00:47:50.000,UVW1,251.999390602568,335.71223,-25.13946,196.622217045679,2014-12-19T00:46:10.000,4,sw00033554003uw1_sk.img.gz,4.591673153051,-17.8200817,4.96583332277932,10.9393,335.65018,-25.20606,738.2416176952465,336.2760236742089
19,00033554003,2014-12-19T00:47:53.000,2014-12-19T00:51:13.000,UVW1,251.999390602568,335.71223,-25.13946,196.622197334387,2014-12-19T00:49:33.000,5,sw00033554003uw1_sk.img.gz,4.591648972878,-17.8201183,4.9658533360642,10.9394,335.65013,-25.20599,737.9775188805295,337.0977491753203
20,00033554003,2014-12-19T00:51:16.000,2014-12-19T00:51:57.000,UVW1,251.999390602568,335.71223,-25.13946,41.2095470407817,2014-12-19T00:51:36.500,6,sw00033554003uw1_sk.img.gz,4.591634262298,-17.8201405,4.96586622321335,10.9395,335.6501,-25.20595,738.5281860662313,336.47820343105224
21,00033824004,2015-06-20T01:01:21.000,2015-06-20T01:01:57.000,UVW2,64.0041290376587,359.32168,-31.04261,35.6315117553253,2015-06-20T01:01:39.000,1,sw00033824004uw2_sk.img.gz,2.5200429555,-21.7815551,2.12282068776519,23.3286,359.33009,-31.14563,1071.9482416198593,275.5647351744111
22,00033824004,2015-06-20T00:54:21.000,2015-06-20T01:01:16.000,UGRISM,64.0041290376587,359.32168,-31.04261,409.217883476988,2015-06-20T00:57:48.500,1,sw00033824004ugu_sk.img.gz,2.520076521661,-21.7814805,2.12289303482248,23.3289,359.33027,-31.14479,532.4082787816014,670.6246331564884
23,00034687001,2016-08-19T12:19:45.000,2016-08-19T12:22:56.000,UVW1,107.939249536719,91.070915,50.126904,188.130632574419,2016-08-19T12:21:20.500,1,sw00034687001uw1_sk.img.gz,4.022348105746,18.7377879,4.43328338105792,12.5687,91.20303,50.14735,301.50914847032107,719.0758740032411
24,00034318001,2016-02-11T03:57:07.000,2016-02-11T03:59:56.000,UVW1,272.91740097676,70.46245,71.67257,166.727669848722,2016-02-11T03:58:31.500,1,sw00034318001uw1_sk.img.gz,1.721239507215,23.1990563,1.12875978608738,32.8918,70.4821,71.68073,504.28910719992257,744.0473216178733
25,00033931002,2015-08-11T18:41:20.000,2015-08-11T18:46:56.000,UGRISM,190.020558658758,304.50225,-73.22952,317.8955214,2015-08-11T18:44:08.000,1,sw00033931002ugu_sk.img.gz,1.835021629417,-23.0980441,1.09166711157796,28.1764,304.51798,-73.22895,1406.390072109491,883.2757836122403
26,00034315002,2016-02-10T23:11:20.000,2016-02-10T23:16:56.000,UGRISM,273.027919527293,70.75883,71.87523,314.9203746,2016-02-10T23:14:08.000,1,sw00034315002ugu_sk.img.gz,1.718593691822,23.2005237,1.12346087028969,32.91,70.77527,71.8818,1914.2584955165046,1352.6389522941101
27,00033757002,2015-04-28T05:04:09.000,2015-04-28T05:07:57.000,UGRISM,52.9947550966087,352.86695,-22.100154,224.714209765457,2015-04-28T05:06:03.000,1,sw00033757002ugu_sk.img.gz,3.162884949743,-20.379911,3.63292977022518,15.0848,352.86639,-22.10161,829.5775529406772,1421.637073233842
28,00034315005,2016-02-10T23:35:26.000,2016-02-10T23:35:56.000,UVW2,272.993146059924,70.75883,71.87523,30.0059205139838,2016-02-10T23:35:41.000,1,sw00034315005uw2_sk.img.gz,1.718794185913,23.2004141,1.12386840398932,32.9121,70.74282,71.86631,1324.3594641707712,1268.1417047772486
29,00034315005,2016-02-10T23:29:19.000,2016-02-10T23:35:21.000,UGRISM,272.993146059924,70.75883,71.87523,221.0512356,2016-02-10T23:32:20.000,1,sw00034315005ugu_sk.img.gz,1.718763018945,23.2004311,1.12380163298578,32.9118,70.74758,71.86894,1935.0412436767322,1271.3966866839382
30,00034022003,2015-09-01T10:34:19.000,2015-09-01T10:39:56.000,UGRISM,285.002109269335,232.63723,-60.22448,134.09877,2015-09-01T10:37:07.500,1,sw00034022003ugu_sk.img.gz,1.558325598858,-23.1843254,1.20846238223309,40.3573,232.63853,-60.22542,1955.6407163540869,1449.7655381796496
31,00034422001,2016-03-14T05:00:57.000,2016-03-14T05:03:57.000,UVW2,254.992469427313,63.02378,53.55475,177.163045484223,2016-03-14T05:02:27.000,1,sw00034422001uw2_sk.img.gz,2.145689480773,22.5833091,2.09021145313923,27.1129,63.02438,53.55754,408.9438286552262,603.7258464374529
